t_s	KLYFF	TECHNICIAN	GUARDIAN	BERSERKER	SEAMUS	PREDATOR
0	0	0	0	0	0	0
15	57.7	40.6	48.2	48.5	38.6	2.9
30	69.9	64.2	72.6	62.9	50.5	10.5
45	75.5	75.4	82.2	72.4	26.9	11.8
60	59.6	36.3	53.5	43.4	39.9	10.9
75	0	40.7	41.9	35.9	36.6	8.6
90	55.5	69.6	55.7	48.4	31.5	35.3
105	43.3	65.5	70.1	43.8	40.5	54.4
120	59.6	72.5	75.3	36.2	33.6	41
135	64.4	57.4	48.3	59.5	28.9	61.7
150	75.3	46.4	27.6	46.1	85.5	56.5
165	54.5	53.7	53.2	50.1	33.8	67.3
180	74.4	8.7	42	60.7	33.2	60.6
195	50.2	75.3	55.6	37.9	75	54.8
210	43.9	53.2	7.3	50.1	35.1	51.8
225	59.7	69.9	61.1	54.8	43.4	44.1
240	64.3	56.9	49	69.3	95.8	58.1
255	75.3	41.7	39	43.9	40.9	66.4
270	58.3	9	66.3	37.5	50.7	67.6
285	59.3	64.2	72.1	51.9	103.8	50.9
